Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
dsr1_0528_fp8_1024_1024_4.log,245.61,0.16,166.77,4122.50,19.98
dsr1_0528_fp8_1024_1024_8.log,200.60,0.40,408.37,296.80,19.32
dsr1_0528_fp8_1024_1024_16.log,227.26,0.70,720.94,457.00,21.76
dsr1_0528_fp8_1024_1024_32.log,276.07,1.16,1186.96,556.94,26.43
dsr1_0528_fp8_8192_1024_4.log,216.18,0.19,189.48,1258.18,19.90
dsr1_0528_fp8_8192_1024_8.log,241.77,0.33,338.84,1965.55,21.71
dsr1_0528_fp8_8192_1024_16.log,307.76,0.52,532.37,2427.26,27.69
dsr1_0528_fp8_8192_1024_32.log,428.34,0.75,765.01,2792.39,39.10
server.log,,,,,
