Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
dsr1_0528_fp8_1024_1024_4.log,137.00,0.29,298.99,362.15,13.04
dsr1_0528_fp8_1024_1024_8.log,144.77,0.55,565.86,665.86,13.50
dsr1_0528_fp8_1024_1024_16.log,163.04,0.98,1004.91,1256.34,14.71
dsr1_0528_fp8_1024_1024_32.log,232.91,1.37,1406.90,2155.89,20.65
dsr1_0528_fp8_8192_1024_4.log,158.97,0.25,257.66,1576.53,14.00
dsr1_0528_fp8_8192_1024_8.log,181.10,0.44,452.35,3203.80,14.57
dsr1_0528_fp8_8192_1024_16.log,271.63,0.59,603.18,5138.56,21.52
dsr1_0528_fp8_8192_1024_32.log,339.04,0.94,966.51,6484.75,26.79
server.log,,,,,
