Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
dsr1_0528_fp8_1024_1024_4.log,214.98,0.19,190.53,194.34,20.82
dsr1_0528_fp8_1024_1024_8.log,219.70,0.36,372.87,301.68,21.18
dsr1_0528_fp8_1024_1024_16.log,242.40,0.66,675.92,502.11,23.20
dsr1_0528_fp8_1024_1024_32.log,282.96,1.13,1158.03,954.78,26.72
dsr1_0528_fp8_8192_1024_4.log,234.77,0.17,174.47,1186.23,21.79
dsr1_0528_fp8_8192_1024_8.log,250.18,0.32,327.45,2364.81,22.14
dsr1_0528_fp8_8192_1024_16.log,350.68,0.46,467.21,5046.60,29.34
dsr1_0528_fp8_8192_1024_32.log,398.87,0.80,821.52,6364.33,32.76
server.log,,,,,
